class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,spore-print-color,population,habitat
edible,convex,scaly,yellow,bruises,anise,free,close,broad,black,enlarging,club,black,scattered,meadows
edible,convex,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,brown,numerous,meadows
edible,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,brown,scattered,paths
edible,flat,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,black,scattered,paths
edible,convex,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,black,scattered,grasses
edible,convex,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,black,scattered,grasses
edible,bell,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,brown,numerous,meadows
poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,brown,several,urban
poisonous,convex,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,black,several,urban
edible,bell,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,club,black,scattered,meadows
edible,flat,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,brown,abundant,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,white,enlarging,club,brown,numerous,grasses
edible,convex,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,black,numerous,grasses
edible,convex,scaly,brown,bruises,almond,free,close,broad,pink,enlarging,rooted,black,solitary,paths
edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,brown,several,urban
edible,bell,scaly,yellow,bruises,almond,free,close,broad,black,enlarging,club,brown,scattered,meadows
edible,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,brown,scattered,meadows
edible,bell,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,brown,numerous,meadows
edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,brown,scattered,grasses
edible,flat,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,black,abundant,grasses
edible,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,black,scattered,grasses
edible,flat,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,rooted,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,club,black,numerous,grasses
edible,convex,fibrous,gray,no,none,free,close,narrow,pink,enlarging,equal,brown,several,urban
edible,flat,fibrous,yellow,bruises,anise,free,crowded,narrow,pink,tapering,bulbous,brown,several,woods
edible,bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,brown,scattered,meadows
edible,flat,fibrous,yellow,bruises,anise,free,crowded,narrow,white,tapering,bulbous,brown,several,woods
edible,convex,scaly,brown,bruises,almond,free,close,broad,pink,enlarging,rooted,black,scattered,paths
edible,bell,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,black,scattered,grasses
edible,flat,smooth,yellow,bruises,anise,free,crowded,narrow,pink,tapering,bulbous,brown,several,woods
edible,convex,smooth,white,bruises,anise,free,crowded,narrow,brown,tapering,bulbous,#N/A,several,woods
edible,flat,scaly,brown,bruises,anise,free,close,broad,pink,enlarging,rooted,brown,solitary,paths
poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,brown,several,urban
edible,flat,scaly,brown,bruises,almond,free,close,broad,brown,enlarging,rooted,brown,solitary,grasses
edible,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,brown,scattered,grasses
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,white,enlarging,equal,black,scattered,grasses
edible,flat,fibrous,gray,no,none,free,close,narrow,brown,enlarging,equal,brown,solitary,urban
edible,convex,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,black,scattered,grasses
edible,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,black,scattered,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,white,enlarging,club,black,scattered,grasses
edible,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,brown,scattered,grasses
edible,flat,scaly,brown,bruises,anise,free,close,broad,white,enlarging,rooted,black,solitary,grasses
edible,sunken,fibrous,brown,no,none,free,close,narrow,brown,enlarging,equal,brown,several,urban
edible,convex,fibrous,brown,no,none,free,close,narrow,brown,enlarging,equal,brown,solitary,urban
edible,bell,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,black,scattered,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,black,scattered,grasses
edible,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,black,numerous,meadows
edible,convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,brown,abundant,grasses
edible,convex,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,brown,scattered,grasses
edible,flat,scaly,brown,bruises,anise,free,close,broad,pink,enlarging,rooted,brown,scattered,grasses
edible,convex,smooth,yellow,bruises,almond,free,close,broad,brown,enlarging,club,black,numerous,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,brown,scattered,grasses
edible,convex,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,black,scattered,grasses
edible,convex,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,black,scattered,grasses
edible,bell,smooth,yellow,bruises,anise,free,close,broad,brown,enlarging,club,black,numerous,grasses
edible,flat,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,rooted,black,solitary,paths
edible,bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,brown,numerous,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,black,numerous,meadows
edible,convex,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,rooted,brown,solitary,grasses
edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,black,scattered,meadows
edible,bell,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,brown,scattered,meadows
edible,convex,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,black,numerous,meadows
edible,convex,smooth,yellow,bruises,anise,free,close,broad,white,enlarging,club,black,numerous,grasses
edible,sunken,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,black,solitary,urban
edible,convex,fibrous,white,bruises,almond,free,crowded,narrow,white,tapering,bulbous,#N/A,several,woods
edible,convex,smooth,yellow,bruises,almond,free,close,broad,brown,enlarging,club,black,numerous,meadows
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,brown,several,urban
edible,convex,scaly,yellow,bruises,anise,free,close,broad,pink,enlarging,rooted,brown,scattered,grasses
edible,sunken,fibrous,gray,no,none,free,close,narrow,pink,enlarging,equal,brown,solitary,urban
edible,convex,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,black,solitary,grasses
edible,convex,smooth,yellow,bruises,anise,free,crowded,narrow,pink,tapering,bulbous,#N/A,several,woods
edible,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,brown,solitary,urban
poisonous,convex,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,black,several,grasses
edible,convex,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,brown,numerous,meadows
poisonous,flat,scaly,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,black,several,grasses
edible,flat,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,brown,abundant,grasses
edible,convex,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,brown,scattered,meadows
edible,convex,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,black,scattered,grasses
edible,bell,smooth,yellow,bruises,almond,free,close,broad,white,enlarging,club,brown,numerous,grasses
edible,flat,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,brown,abundant,grasses
edible,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,black,numerous,grasses
edible,bell,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,brown,scattered,meadows
edible,bell,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,brown,scattered,grasses
edible,bell,scaly,white,bruises,anise,free,close,broad,white,enlarging,club,brown,scattered,meadows
edible,flat,smooth,white,bruises,anise,free,crowded,narrow,white,tapering,bulbous,#N/A,several,woods
edible,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,black,scattered,meadows
edible,flat,smooth,white,bruises,almond,free,crowded,narrow,pink,tapering,bulbous,brown,several,woods
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,white,enlarging,equal,brown,several,urban
edible,flat,fibrous,white,bruises,anise,free,crowded,narrow,white,tapering,bulbous,brown,several,woods
edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,brown,scattered,grasses
poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,brown,several,grasses
edible,bell,smooth,yellow,bruises,anise,free,close,broad,white,enlarging,club,brown,numerous,grasses
edible,convex,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,black,solitary,paths
edible,bell,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,black,numerous,meadows
edible,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,brown,several,urban
edible,flat,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,black,solitary,paths
edible,convex,scaly,yellow,bruises,almond,free,close,broad,black,enlarging,club,black,numerous,grasses
edible,convex,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,black,scattered,grasses
edible,flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,brown,abundant,grasses
edible,convex,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,club,brown,numerous,meadows
edible,bell,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,black,numerous,grasses
edible,bell,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,black,numerous,meadows
edible,convex,scaly,white,bruises,almond,free,close,broad,white,enlarging,club,brown,scattered,grasses
edible,convex,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,brown,abundant,grasses
edible,convex,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,brown,scattered,grasses
edible,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,black,several,urban
edible,convex,smooth,white,bruises,almond,free,crowded,narrow,white,tapering,bulbous,#N/A,several,woods
edible,convex,scaly,brown,bruises,anise,free,close,broad,white,enlarging,rooted,black,scattered,grasses
edible,bell,scaly,yellow,bruises,almond,free,close,broad,black,enlarging,club,brown,numerous,grasses
edible,convex,scaly,white,bruises,almond,free,close,broad,black,enlarging,club,brown,numerous,grasses
edible,bell,scaly,white,bruises,almond,free,close,broad,brown,enlarging,club,black,scattered,meadows
edible,bell,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,black,scattered,grasses
edible,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,black,scattered,meadows
edible,bell,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,black,numerous,grasses
edible,convex,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,brown,solitary,urban
edible,flat,scaly,brown,bruises,anise,free,close,broad,brown,enlarging,rooted,brown,solitary,grasses
edible,convex,scaly,white,bruises,almond,free,close,broad,black,enlarging,club,brown,scattered,grasses
edible,flat,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,brown,solitary,paths
edible,bell,smooth,white,bruises,almond,free,close,broad,white,enlarging,club,brown,scattered,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,white,enlarging,club,black,scattered,meadows
edible,convex,scaly,brown,bruises,anise,free,close,broad,white,enlarging,rooted,black,solitary,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,black,enlarging,club,black,scattered,grasses
edible,convex,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,brown,solitary,urban
edible,bell,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,brown,scattered,grasses
edible,convex,fibrous,yellow,bruises,anise,free,crowded,narrow,brown,tapering,bulbous,#N/A,several,woods
edible,bell,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,club,black,scattered,grasses
edible,flat,scaly,yellow,bruises,anise,free,close,broad,pink,enlarging,rooted,brown,scattered,grasses
edible,bell,scaly,white,bruises,anise,free,close,broad,white,enlarging,club,black,numerous,meadows
edible,bell,scaly,white,bruises,almond,free,close,broad,black,enlarging,club,black,numerous,meadows
edible,bell,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,brown,numerous,meadows
edible,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,brown,numerous,grasses
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,brown,several,urban
edible,sunken,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,brown,solitary,urban
edible,flat,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,black,several,urban
edible,convex,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,brown,scattered,meadows
edible,flat,scaly,brown,bruises,almond,free,close,broad,pink,enlarging,rooted,black,scattered,paths
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,black,scattered,grasses
edible,bell,smooth,white,bruises,anise,free,close,broad,gray,enlarging,club,brown,scattered,meadows
edible,flat,fibrous,gray,no,none,free,close,narrow,pink,enlarging,equal,black,several,urban
edible,bell,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,brown,numerous,grasses
edible,convex,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,brown,solitary,paths
edible,convex,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,black,scattered,grasses
edible,convex,smooth,white,bruises,anise,free,crowded,narrow,white,tapering,bulbous,brown,several,woods
edible,bell,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,brown,scattered,meadows
edible,flat,smooth,yellow,bruises,almond,free,crowded,narrow,white,tapering,bulbous,brown,several,woods
edible,convex,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,brown,numerous,meadows
edible,flat,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,brown,solitary,urban
edible,bell,smooth,yellow,bruises,almond,free,close,broad,brown,enlarging,club,black,scattered,grasses
edible,convex,smooth,white,bruises,anise,free,close,broad,gray,enlarging,club,brown,numerous,meadows
edible,convex,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,brown,scattered,meadows
edible,flat,smooth,white,bruises,almond,free,crowded,narrow,brown,tapering,bulbous,brown,several,woods
edible,convex,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,club,brown,scattered,grasses
edible,bell,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,black,scattered,grasses
edible,convex,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,black,numerous,grasses
edible,convex,fibrous,white,no,none,free,crowded,broad,chocolate,tapering,equal,black,scattered,grasses
edible,flat,scaly,brown,bruises,anise,free,close,broad,brown,enlarging,rooted,black,solitary,paths
poisonous,convex,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,brown,several,urban
edible,bell,smooth,white,bruises,almond,free,close,broad,brown,enlarging,club,brown,numerous,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,black,enlarging,club,black,scattered,meadows
edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,brown,numerous,grasses
edible,bell,scaly,white,bruises,almond,free,close,broad,white,enlarging,club,black,numerous,grasses
edible,convex,smooth,yellow,bruises,almond,free,close,broad,white,enlarging,club,black,scattered,grasses
edible,bell,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,black,numerous,meadows
edible,convex,fibrous,yellow,bruises,almond,free,crowded,narrow,brown,tapering,bulbous,brown,several,woods
edible,convex,fibrous,gray,no,none,free,close,narrow,brown,enlarging,equal,brown,solitary,urban
edible,flat,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,rooted,brown,scattered,grasses
edible,bell,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,black,numerous,meadows
edible,convex,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,black,scattered,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,black,enlarging,club,black,scattered,grasses
edible,convex,scaly,white,bruises,anise,free,close,broad,white,enlarging,club,brown,scattered,grasses
edible,sunken,fibrous,gray,no,none,free,close,narrow,pink,enlarging,equal,brown,several,urban
edible,convex,smooth,white,bruises,almond,free,close,broad,brown,enlarging,club,brown,numerous,meadows
poisonous,convex,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,black,scattered,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,rooted,brown,scattered,grasses
edible,flat,fibrous,white,bruises,almond,free,crowded,narrow,pink,tapering,bulbous,brown,several,woods
edible,convex,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,black,numerous,meadows
edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,black,scattered,grasses
edible,convex,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,brown,numerous,grasses
edible,convex,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,brown,scattered,grasses
poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,black,several,urban
edible,bell,smooth,yellow,bruises,almond,free,close,broad,brown,enlarging,club,brown,numerous,grasses
edible,convex,fibrous,gray,no,none,free,close,narrow,brown,enlarging,equal,black,solitary,urban
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,black,scattered,urban
edible,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,brown,solitary,paths
edible,flat,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,black,several,urban
edible,bell,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,brown,numerous,grasses
edible,convex,fibrous,white,bruises,anise,free,crowded,narrow,white,tapering,bulbous,brown,several,woods
edible,convex,scaly,white,bruises,anise,free,close,broad,white,enlarging,club,black,scattered,grasses
edible,bell,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,black,scattered,grasses
edible,flat,scaly,yellow,bruises,almond,free,close,broad,pink,enlarging,rooted,black,scattered,paths
edible,flat,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,rooted,black,solitary,paths
edible,convex,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,black,scattered,grasses
edible,convex,smooth,white,bruises,almond,free,close,broad,white,enlarging,club,brown,numerous,meadows
poisonous,convex,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,black,several,urban
edible,flat,fibrous,white,bruises,almond,free,crowded,narrow,pink,tapering,bulbous,#N/A,several,woods
edible,convex,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,brown,scattered,grasses
edible,convex,smooth,white,bruises,anise,free,crowded,narrow,pink,tapering,bulbous,#N/A,several,woods
edible,convex,scaly,white,bruises,almond,free,close,broad,brown,enlarging,club,black,scattered,meadows
edible,flat,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,black,solitary,paths
edible,convex,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,black,scattered,grasses
edible,flat,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,rooted,brown,solitary,grasses
poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,brown,scattered,grasses
edible,sunken,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,brown,several,urban
edible,bell,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,club,brown,scattered,meadows
edible,bell,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,brown,scattered,grasses
edible,bell,scaly,white,bruises,anise,free,close,broad,black,enlarging,club,brown,numerous,meadows
edible,flat,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,brown,several,urban
edible,convex,smooth,white,bruises,almond,free,close,broad,white,enlarging,club,black,numerous,meadows
edible,bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,black,numerous,grasses
edible,bell,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,brown,numerous,meadows
edible,flat,scaly,brown,bruises,anise,free,close,broad,white,enlarging,rooted,brown,scattered,grasses
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,black,several,grasses
edible,convex,smooth,white,bruises,almond,free,close,broad,brown,enlarging,club,brown,numerous,grasses
edible,convex,scaly,white,bruises,almond,free,close,broad,brown,enlarging,club,brown,scattered,meadows
edible,flat,fibrous,white,bruises,anise,free,crowded,narrow,white,tapering,bulbous,#N/A,several,woods
edible,flat,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,black,several,urban
edible,flat,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,black,abundant,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,brown,scattered,meadows
edible,bell,smooth,white,bruises,almond,free,close,broad,black,enlarging,club,brown,scattered,meadows
poisonous,flat,scaly,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,black,scattered,urban
edible,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,black,numerous,meadows
poisonous,flat,smooth,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,black,several,urban
edible,convex,scaly,white,bruises,anise,free,close,broad,black,enlarging,club,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,black,enlarging,club,brown,numerous,meadows
edible,flat,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,rooted,brown,scattered,paths
edible,convex,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,brown,scattered,paths
edible,flat,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,brown,solitary,grasses
edible,convex,scaly,white,bruises,almond,free,close,broad,white,enlarging,club,brown,numerous,meadows
edible,flat,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,black,scattered,grasses
edible,convex,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,brown,numerous,meadows
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,white,enlarging,equal,brown,scattered,grasses
edible,bell,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,brown,numerous,meadows
edible,sunken,fibrous,brown,no,none,free,close,narrow,pink,enlarging,equal,brown,several,urban
edible,convex,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,black,scattered,meadows
edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,black,numerous,meadows
edible,flat,scaly,brown,bruises,almond,free,close,broad,brown,enlarging,rooted,black,scattered,grasses
edible,bell,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,black,scattered,meadows
edible,bell,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,black,scattered,grasses
edible,convex,scaly,brown,bruises,anise,free,close,broad,brown,enlarging,rooted,brown,solitary,paths
